,symptom,expected_disease,gpt-4o-mini,gemini-1.5-flash,gpt-4o-mini_accuracy1,gpt-4o-mini_accuracy2,gpt-4o-mini_accuracy_overall,gemini-1.5-flash_accuracy1,gemini-1.5-flash_accuracy2,gemini-1.5-flash_accuracy_overall
10,"I have been having back pain, a productive cough, and weakness in my limbs. My neck is sore and I have been dizzy and off balance.",cervical spondylosis,"1. multiple sclerosis - [more_info]
2. pneumonia - [true]
3. spinal cord injury - [false]
4. meningitis - [more_info]
5. fibromyalgia - [false]","1. multiple sclerosis - [more_info]
2. spinal cord compression - [more_info]
3. influenza - [more_info]
4. lyme disease - [more_info]

**reasoning:**  the combination of back pain, weakness in limbs, dizziness, and balance problems could suggest neurological conditions like multiple sclerosis or spinal cord compression.  the productive cough points towards a respiratory infection like influenza. lyme disease can present with a wide range of symptoms, including neurological ones.  more information is needed to assess the likelihood of each.
",0,0,0,0,0,0
11,"I have been having back pain, a productive cough, and weakness in my limbs. My neck is sore and I have been dizzy and off balance.",cervical spondylosis,"1. multiple sclerosis - [more_info]
2. pneumonia - [true]
3. spinal cord injury - [false]
4. meningitis - [more_info]
5. fibromyalgia - [false]","1. multiple sclerosis - [more_info]
2. spinal stenosis - [more_info]
3. lyme disease - [more_info]
4. pneumonia - [more_info]
",0,0,0,0,0,0
12,I have a hard time eating because I feel like I'm going to throw up. I also have a lot of heartburn and a tingling sensation in my throat.,gastroesophageal reflux disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. esophagitis - [true]
3. gastroparesis - [more_info]","1. gastroesophageal reflux disease (gerd) - [true]
2. esophagitis - [also_possible]
3. anxiety/panic disorder - [more_info]
",1,1,1,1,1,1
13,I have a hard time eating because I feel like I'm going to throw up. I also have a lot of heartburn and a tingling sensation in my throat.,gastroesophageal reflux disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. esophagitis - [true]
3. gastroparesis - [also_possible]
4. anxiety disorder - [false]","1. gastroesophageal reflux disease (gerd) - [true]
2. esophagitis - [also_possible]
3.  peptic ulcer disease - [more_info]
",1,1,1,1,1,1
14,I have a skin rash that gets worse in the winter when the air is dry. I have to moisturize more regularly and use humidifiers to keep my skin moisturized. I also have joint pain.,psoriasis,"1. eczema - [true]
2. psoriasis - [also_possible]
3. rheumatoid arthritis - [more_info]","1. atopic dermatitis (eczema) - [true]
2. psoriasis - [also_possible]
3. rheumatoid arthritis - [more_info]
",0,1,1,0,1,1
15,I have a skin rash that gets worse in the winter when the air is dry. I have to moisturize more regularly and use humidifiers to keep my skin moisturized. I also have joint pain.,psoriasis,"1. eczema - [true]
2. psoriasis - [also_possible]
3. rheumatoid arthritis - [false]
4. lupus - [false]","1. atopic dermatitis (eczema) - [true]
2. psoriatic arthritis - [also_possible]
3. rheumatoid arthritis - [more_info]
",0,1,1,0,0,0
16,My muscles are weak and my neck is tight. I have swollen joints and it is hard to move around without getting stiff. It is also hard to walk.,arthritis,"1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. myasthenia gravis - [more_info]","1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. polymyalgia rheumatica - [more_info]
",1,1,1,1,1,1
17,My muscles are weak and my neck is tight. I have swollen joints and it is hard to move around without getting stiff. It is also hard to walk.,arthritis,"1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. myasthenia gravis - [more_info]","1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. osteoarthritis - [true]
",1,1,1,1,1,1
18,I'm having trouble breathing. I'm sweating a lot and I don't feel well. My chest hurts and I have a lot of mucus in my throat. I'm coughing up phlegm that's a weird color.,pneumonia,"1. pneumonia - [true]
2. bronchitis - [true]
3. asthma - [also_possible]
4. heart attack - [more_info]","1. pneumonia - [possible]
2. bronchitis - [possible]
3. covid-19 - [possible]
4. influenza - [possible]
5. asthma exacerbation - [possible]

**note:**  this is not a diagnosis.  the symptoms described warrant immediate medical attention.  the above is a list of *possible* conditions based on the limited information provided. a proper diagnosis requires a physical examination, further testing (e.g., chest x-ray, blood tests), and a review of the patient's complete medical history.
",1,1,1,1,1,1
19,I'm having trouble breathing. I'm sweating a lot and I don't feel well. My chest hurts and I have a lot of mucus in my throat. I'm coughing up phlegm that's a weird color.,pneumonia,"1. pneumonia - [true]
2. bronchitis - [true]
3. asthma - [also_possible]
4. heart attack - [more_info]","1. pneumonia - [possible]
2. bronchitis - [possible]
3. asthma exacerbation - [possible]
4. covid-19 - [possible]
5. influenza - [possible]
6. pleurisy - [possible]


**note:**  the information provided is insufficient for a definitive diagnosis.  the symptoms described are common to many respiratory illnesses.  further investigation including a physical exam, chest x-ray, and potentially blood tests are necessary to determine the specific cause.  the above possibilities should be considered and investigated by a medical professional.
",1,1,1,1,1,1
20,My muscles are weak and my neck is stiff. My joints are swollen and it hurts to walk.,arthritis,"1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. myasthenia gravis - [more_info]","1. rheumatoid arthritis - [true]
2. lupus - [more_info]
3. fibromyalgia - [more_info]
",1,1,1,1,1,1
21,My muscles are weak and my neck is stiff. My joints are swollen and it hurts to walk.,arthritis,"1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. myasthenia gravis - [more_info]","1. rheumatoid arthritis - [true]
2. lupus - [more_info]
3. fibromyalgia - [more_info]
",1,1,1,1,1,1
22,"I've been coughing up phlegm and my back hurts. I also feel weak and disoriented, and my neck hurts.",cervical spondylosis,"1. pneumonia - [true]
2. bronchitis - [also_possible]
3. meningitis - [more_info]","1. pneumonia - [more_info]
2. influenza - [more_info]
3. meningitis - [more_info]
4. tuberculosis - [more_info]

",0,0,0,0,0,0
23,"I've been coughing up phlegm and my back hurts. I also feel weak and disoriented, and my neck hurts.",cervical spondylosis,"1. pneumonia - [true]
2. bronchitis - [also_possible]
3. meningitis - [more_info]","1. pneumonia - [possible]
2. influenza - [possible]
3. meningitis - [possible]
4. tuberculosis - [possible]


**note:**  the symptoms provided are non-specific and could indicate a wide range of conditions.  further information, including a physical examination, imaging studies (like a chest x-ray), and laboratory tests (e.g., blood cultures, sputum analysis), are crucial for accurate diagnosis and to rule out the possibilities above.  the ""possible"" designation reflects the potential for these diagnoses based on the limited information provided; it is not a confirmed diagnosis.
",0,0,0,0,0,0
24,"I've been feeling really sick. I have a fever, chills, nausea, and a headache. I've also been sweating a lot and my muscles ache.",malaria,"1. influenza - [true]
2. covid-19 - [true]
3. dengue fever - [more_info]","1. influenza - [also_possible]
2. covid-19 - [also_possible]
3. bacterial meningitis - [more_info]
",0,0,0,0,0,0
25,"I've been feeling really sick. I have a fever, chills, nausea, and a headache. I've also been sweating a lot and my muscles ache.",malaria,"1. influenza - [true]
2. covid-19 - [true]
3. dengue fever - [more_info]","1. influenza - [true]
2. covid-19 - [also_possible]
3. bacterial meningitis - [more_info]
",0,0,0,0,0,0
26,I have a terrible pain in my stomach and I feel really sick. I'm also running a fever. I'm worried that I might have typhoid.,typhoid,"1. typhoid fever - [true]
2. gastroenteritis - [also_possible]
3. appendicitis - [more_info]","1. typhoid fever - [also_possible]
2. appendicitis - [also_possible]
3. gastroenteritis - [also_possible]
4.  pancreatitis - [more_info]

",1,1,1,1,1,1
27,I have a terrible pain in my stomach and I feel really sick. I'm also running a fever. I'm worried that I might have typhoid.,typhoid,"1. typhoid fever - [true]
2. gastroenteritis - [also_possible]
3. appendicitis - [more_info]","1. typhoid fever - [also_possible]
2. appendicitis - [also_possible]
3. gastroenteritis - [also_possible]
4.  acute pancreatitis - [more_info]
",1,1,1,1,1,1
28,"I have pain in my stomach after eating certain foods, like hot or acidic food. I also have loose stools sometimes. Bending over or lying down makes my stomach feel worse.",peptic ulcer disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. irritable bowel syndrome (ibs) - [true]
4. gallbladder disease - [false]","1. gastritis - [true]
2. peptic ulcer disease - [also_possible]
3. gastroesophageal reflux disease (gerd) - [true]
4. irritable bowel syndrome (ibs) - [also_possible]
5. celiac disease - [more_info]
6. pancreatitis - [more_info]

",0,1,1,0,1,1
29,"I have pain in my stomach after eating certain foods, like hot or acidic food. I also have loose stools sometimes. Bending over or lying down makes my stomach feel worse.",peptic ulcer disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. irritable bowel syndrome (ibs) - [true]
4. food intolerance - [true]","1. gastritis - [true]
2. peptic ulcer disease - [also_possible]
3. irritable bowel syndrome (ibs) - [also_possible]
4. celiac disease - [more_info]
5. pancreatitis - [more_info]

",0,1,1,0,1,1
30,I've been feeling feverish and chilly for a few days. I've also been sweating a lot and have a headache. My muscles are aching and I'm feeling nauseous.,malaria,"1. influenza - [true]
2. covid-19 - [true]
3. malaria - [more_info]
4. dengue fever - [more_info]","1. influenza - [true]
2. covid-19 - [also_possible]
3. typhoid fever - [more_info]
",0,0,1,0,0,0
31,I've been feeling feverish and chilly for a few days. I've also been sweating a lot and have a headache. My muscles are aching and I'm feeling nauseous.,malaria,"1. influenza - [true]
2. covid-19 - [true]
3. malaria - [more_info]
4. dengue fever - [more_info]","1. influenza - [also_possible]
2. covid-19 - [also_possible]
3. typhoid fever - [more_info]
",0,0,1,0,0,0
32,I have been having a headache for the past few days and it is getting worse. I also have a sore neck and my vision is blurry.,migraine,"1. meningitis - [true]
2. cervical spondylosis - [also_possible]
3. migraine - [false]
4. tension headache - [false]","1. meningitis - [more_info]
2. subarachnoid hemorrhage - [more_info]
3. brain tumor - [more_info]
4. migraine - [more_info]
",0,0,1,0,0,1
33,I have been having a headache for the past few days and it is getting worse. I also have a sore neck and my vision is blurry.,migraine,"1. meningitis - [true]
2. cervical spondylosis - [also_possible]
3. migraine - [false]
4. tension headache - [false]
5. intracranial hemorrhage - [more_info]","1. meningitis - [more_info]
2. brain tumor - [more_info]
3. subarachnoid hemorrhage - [more_info]
4. migraine - [more_info]
",0,0,1,0,0,1
34,"I've been having a lot of trouble breathing, and I've been coughing a lot. I also have a fever, and I'm feeling really weak. I'm not sure what's wrong with me, but I'm worried that it might be something serious.",bronchial asthma,"1. pneumonia - [true]
2. covid-19 - [true]
3. bronchitis - [also_possible]
4. asthma exacerbation - [false]
5. influenza - [also_possible]","1. influenza - [also_possible]
2. pneumonia - [also_possible]
3. covid-19 - [also_possible]
4. bronchitis - [also_possible]
5. tuberculosis - [more_info]

**note:**  the symptoms described are common to several respiratory illnesses.  further investigation, including a physical exam and diagnostic tests (e.g., chest x-ray, blood tests, viral/bacterial testing), are necessary to reach a definitive diagnosis.  the  [also_possible] designations reflect the overlap of symptoms and the need for more information to distinguish between them.
",0,0,0,0,0,0
35,"I've been having a lot of trouble breathing, and I've been coughing a lot. I also have a fever, and I'm feeling really weak. I'm not sure what's wrong with me, but I'm worried that it might be something serious.",bronchial asthma,"1. pneumonia - [true]
2. covid-19 - [true]
3. bronchitis - [also_possible]
4. asthma exacerbation - [false]
5. influenza - [more_info]","1. influenza - [also_possible]
2. pneumonia - [also_possible]
3. covid-19 - [also_possible]
4. bronchitis - [also_possible]
5. tuberculosis - [more_info]

**note:**  the information provided is insufficient to make a definitive diagnosis.  all listed conditions present with similar symptoms.  further testing (e.g., chest x-ray, blood tests, viral testing) is needed to differentiate between these possibilities.
",0,0,0,0,0,0
36,I'm having trouble healing my wounds. My feet and hands are tingling and numb. I feel weak and fragile.,diabetes,"1. diabetes mellitus - [true]
2. peripheral neuropathy - [true]
3. vitamin b12 deficiency - [also_possible]
4. chronic kidney disease - [false]
5. multiple sclerosis - [false]","1. peripheral neuropathy - [more_info]
2. diabetes - [more_info]
3.  vitamin b12 deficiency - [more_info]
",1,1,1,0,1,1
37,I'm having trouble healing my wounds. My feet and hands are tingling and numb. I feel weak and fragile.,diabetes,"1. diabetes mellitus - [true]
2. peripheral neuropathy - [true]
3. vitamin b12 deficiency - [also_possible]
4. chronic kidney disease - [false]
5. multiple sclerosis - [false]","1. peripheral neuropathy - [more_info]
2. diabetes - [more_info]
3. vitamin b12 deficiency - [more_info]
",1,1,1,0,1,1
38,"I've been feeling really itchy all over, and I've been throwing up. I'm also really tired, and I've lost a lot of weight. My skin and my pee are both yellow, and my stomach hurts.",jaundice,"1. hepatitis - [true]
2. liver cirrhosis - [also_possible]
3. cholecystitis - [false]
4. pancreatitis - [false]","1. hepatitis a - [more_info]
2. hepatitis b - [more_info]
3. hepatitis c - [more_info]
4. pancreatitis - [more_info]
5. liver cancer - [more_info]

**reasoning:**  the symptoms (itching, vomiting, fatigue, weight loss, jaundice [yellow skin and urine], abdominal pain) suggest potential liver or pancreatic issues.  all listed conditions are possibilities, requiring further investigation (blood tests, imaging) to rule in or out.
",0,0,0,0,0,1
39,"I've been feeling really itchy all over, and I've been throwing up. I'm also really tired, and I've lost a lot of weight. My skin and my pee are both yellow, and my stomach hurts.",jaundice,"1. hepatitis - [true]
2. liver cirrhosis - [also_possible]
3. cholecystitis - [false]
4. pancreatitis - [false]
5. gallstones - [false]","1. hepatitis a - [more_info]
2. hepatitis b - [more_info]
3. hepatitis c - [more_info]
4. cholangitis - [more_info]
5. pancreatitis - [more_info]

**reasoning:** the symptoms (itching, vomiting, fatigue, weight loss, jaundice (yellow skin and urine), abdominal pain) point towards several possibilities, primarily liver-related diseases.  all listed conditions *could* present with this symptom cluster, but further investigation (blood tests, imaging) is crucial for a proper diagnosis.  therefore, all are currently [more_info].
",0,0,0,0,0,1
40,"I have been having headaches for a while now. They are usually on the left side of my head and are very painful. I also get nausea, vomiting, and sensitivity to light and sound. I have tried taking over-the-counter pain relievers, but they don't seem to help much.",migraine,"1. migraine - [true]
2. cluster headache - [also_possible]
3. tension headache - [false]
4. intracranial hypertension - [more_info]","1. migraine - [true]
2. tension headache - [also_possible]
3. meningitis - [more_info]
4. brain tumor - [more_info]
",1,1,1,1,1,1
41,"I have been having headaches for a while now. They are usually on the left side of my head and are very painful. I also get nausea, vomiting, and sensitivity to light and sound. I have tried taking over-the-counter pain relievers, but they don't seem to help much.",migraine,"1. migraine - [true]
2. cluster headache - [also_possible]
3. tension headache - [false]
4. sinus headache - [false]","1. migraine - [also_possible]
2. tension headache - [true]
3. meningitis - [more_info]
4. brain tumor - [more_info]

**note:**  the symptoms described (left-sided headache, nausea, vomiting, photophobia, phonophobia) are consistent with migraine, but could also indicate other, more serious conditions.  over-the-counter pain relief ineffectiveness warrants further investigation.  meningitis and brain tumor are included due to the severity of symptoms, but require more information (e.g., fever, stiff neck, neurological symptoms) for proper assessment.  further medical evaluation is crucial.
",1,1,1,1,1,1
42,"I've been feeling very sick. I have a high fever, chills, and severe itching. I've also been sweating a lot and have a headache. I've also been feeling nauseous and have muscle aches.",malaria,"1. influenza - [true]
2. dengue fever - [true]
3. malaria - [also_possible]
4. covid-19 - [true]
5. allergic reaction - [false]","1. influenza - [also_possible]
2. dengue fever - [also_possible]
3. zika virus - [more_info]
4. typhoid fever - [more_info]
5. chickenpox - [more_info]

",0,0,1,0,0,0
43,"I've been feeling very sick. I have a high fever, chills, and severe itching. I've also been sweating a lot and have a headache. I've also been feeling nauseous and have muscle aches.",malaria,"1. influenza - [true]
2. dengue fever - [true]
3. malaria - [also_possible]
4. covid-19 - [true]
5. allergic reaction - [false]","1. influenza - [possible]
2. dengue fever - [possible]
3. zika virus - [possible]
4. lyme disease - [more_info]

**reasoning:**  the symptoms (high fever, chills, headache, muscle aches, nausea) are consistent with several viral illnesses, including influenza, dengue fever, and zika virus.  the severe itching is less common but could be associated with some viral infections or a secondary reaction.  lyme disease is a possibility given the muscle aches and potential for fever, but requires more information about a potential tick bite.  more information is needed to differentiate between these possibilities and rule out others.
",0,0,1,0,0,0
44,"I have a lot of heartburn and indigestion, especially after eating spicy or fatty foods. I also have chest pain when I lean forward or lie down.",gastroesophageal reflux disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. esophagitis - [more_info]","1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. coronary artery disease - [more_info]
",1,1,1,1,1,1
45,"I have a lot of heartburn and indigestion, especially after eating spicy or fatty foods. I also have chest pain when I lean forward or lie down.",gastroesophageal reflux disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. esophagitis - [more_info]","1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. coronary artery disease - [more_info]
",1,1,1,1,1,1
46,"I've been feeling really unwell. I have a high fever, chills, nausea, and intense scratching. My muscles hurt a lot, and I feel queasy. I've also been sweating a lot.",malaria,"1. influenza - [true]
2. covid-19 - [true]
3. dengue fever - [also_possible]
4. malaria - [more_info]","1. influenza - [also_possible]
2. dengue fever - [more_info]
3. lyme disease - [more_info]
4.  chickenpox - [more_info]


**reasoning:**

the symptoms (high fever, chills, muscle aches, nausea, sweating) are common to several illnesses.  influenza is a strong possibility given the widespread nature of the illness and the presented symptoms. however, the intense itching warrants further investigation into other possibilities like dengue fever, lyme disease (especially if there's a history of tick bites), or even chickenpox (though less likely in an adult).  more information is needed to narrow down the diagnosis.
",0,0,1,0,0,0
47,"I've been feeling really unwell. I have a high fever, chills, nausea, and intense scratching. My muscles hurt a lot, and I feel queasy. I've also been sweating a lot.",malaria,"1. influenza - [true]
2. covid-19 - [true]
3. dengue fever - [also_possible]
4. malaria - [more_info]","1. influenza - [also_possible]
2. dengue fever - [also_possible]
3. chickenpox - [more_info]
4. lyme disease - [more_info]
5. sepsis - [more_info]

",0,0,1,0,0,0
48,"I have a fever, headache, and red spots all over my body. The spots are itchy and swollen.",chicken pox,"1. measles - [true]
2. chickenpox - [true]
3. scarlet fever - [false]
4. allergic reaction - [also_possible]","1. meningitis - [more_info]
2. measles - [more_info]
3. rocky mountain spotted fever - [more_info]
4. scarlet fever - [more_info]
",0,0,0,0,0,0
49,"I have a fever, headache, and red spots all over my body. The spots are itchy and swollen.",chicken pox,"1. measles - [true]
2. chickenpox - [true]
3. scarlet fever - [false]
4. allergic reaction - [also_possible]","1. meningitis - [more_info]
2. rocky mountain spotted fever - [more_info]
3. measles - [more_info]
4. scarlet fever - [more_info]

**note:**  fever, headache, and a widespread rash are non-specific symptoms that could indicate many different conditions.  further information (e.g., location of rash, nature of the fever, medical history, recent travel) is needed to accurately assess the risk of these specific diseases.  the possibility of other illnesses cannot be ruled out at this time.
",0,0,0,0,0,0
50,"I've been experiencing a lot of pain in my joints, especially my knees and hands. I've also been feeling really stiff and my joints have been swollen. I've been having trouble walking and doing other activities that I normally do.",arthritis,"1. rheumatoid arthritis - [true]
2. osteoarthritis - [also_possible]
3. gout - [false]
4. psoriatic arthritis - [false]","1. osteoarthritis - [true]
2. rheumatoid arthritis - [also_possible]
3. gout - [more_info]
",1,1,1,1,1,1
51,"I've been experiencing a lot of pain in my joints, especially my knees and hands. I've also been feeling really stiff and my joints have been swollen. I've been having trouble walking and doing other activities that I normally do.",arthritis,"1. rheumatoid arthritis - [true]
2. osteoarthritis - [also_possible]
3. gout - [false]
4. psoriatic arthritis - [false]","1. osteoarthritis - [true]
2. rheumatoid arthritis - [also_possible]
3. gout - [more_info]
",1,1,1,1,1,1
52,"I have to go to the bathroom a lot, but when I get there, I can't seem to empty my bladder. Sometimes, I get a really strong urge to go, and my urine is dark or red.",urinary tract infection,"1. urinary tract infection (uti) - [true]
2. bladder infection - [true]
3. kidney stones - [also_possible]
4. prostatitis (in males) - [also_possible]
5. interstitial cystitis - [more_info]
6. hematuria (blood in urine) - [true]","1. urinary tract infection (uti) - [true]
2. bladder cancer - [also_possible]
3. enlarged prostate (if male) - [more_info]
4. kidney stones - [also_possible]
5. interstitial cystitis - [more_info]

**important note:**  the presence of dark or red urine is a significant concern and warrants immediate medical attention.  this symptom alone necessitates a thorough evaluation to rule out serious conditions.  the above is a preliminary assessment based on limited information and should not be considered a diagnosis.
",1,1,1,1,1,1
53,"I have to go to the bathroom a lot, but when I get there, I can't seem to empty my bladder. Sometimes, I get a really strong urge to go, and my urine is dark or red.",urinary tract infection,"1. urinary tract infection (uti) - [true]
2. bladder obstruction - [true]
3. interstitial cystitis - [also_possible]
4. kidney stones - [true]
5. prostatitis (in males) - [more_info]","1. urinary tract infection (uti) - [true]
2. bladder stones - [also_possible]
3. prostate problems (if male) - [more_info]
4. kidney stones - [more_info]
5. interstitial cystitis - [more_info]
6. bladder cancer - [more_info]

**note:**  the frequent urination with difficulty emptying, along with dark or red urine, strongly suggests a uti. however, other conditions cannot be ruled out without further investigation.  the dark/red urine is a significant concern and requires immediate medical attention.
",1,1,1,1,1,1
54,"I've been feeling really tired lately. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself. I've also been having a lot of trouble sleeping.",chicken pox,"1. chronic fatigue syndrome - [more_info]
2. sleep apnea - [more_info]
3. depression - [more_info]
4. hypothyroidism - [more_info]
5. anemia - [more_info]","1.  sleep apnea - [more_info]
2.  depression - [more_info]
3.  hypothyroidism - [more_info]
4.  anemia - [more_info]
",0,0,0,0,0,0
55,"I've been feeling really tired lately. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself. I've also been having a lot of trouble sleeping.",chicken pox,"1. chronic fatigue syndrome - [more_info]
2. sleep apnea - [more_info]
3. depression - [more_info]
4. hypothyroidism - [more_info]
5. anemia - [more_info]","1. depression - [also_possible]
2. sleep apnea - [more_info]
3. hypothyroidism - [more_info]
4. anemia - [more_info]
",0,0,0,0,0,0
56,"I have a rash all over my body, and it's really itchy. I also have some spots where the color of my skin is different, and some lumps and knot-like pimples.",fungal infection,"1. eczema - [true]
2. psoriasis - [also_possible]
3. contact dermatitis - [true]
4. hives (urticaria) - [false]
5. folliculitis - [false]","1.  measles - [false]
2.  chickenpox - [also_possible]
3.  eczema - [true]
4.  allergic reaction - [true]
5.  systemic lupus erythematosus - [more_info]

",0,0,0,0,0,0
57,"I have a rash all over my body, and it's really itchy. I also have some spots where the color of my skin is different, and some lumps and knot-like pimples.",fungal infection,"1. eczema - [true]
2. psoriasis - [true]
3. contact dermatitis - [true]
4. hives (urticaria) - [false]
5. folliculitis - [false]
6. fungal infection - [more_info]","1. atopic dermatitis (eczema) - [possible]
2. psoriasis - [possible]
3. allergic contact dermatitis - [possible]
4.  drug reaction - [more_info]
5.  systemic lupus erythematosus - [more_info]


**note:**  the presence of a widespread rash, itching, skin discoloration, and lumps/pimples necessitates further investigation.  the above are possibilities based on the limited information; a proper diagnosis requires a physical examination and potentially further testing.  the [possible] designations indicate that these conditions are plausible given the symptoms, but further information is needed for confirmation or exclusion.
",0,0,1,0,0,0
